season,week,player_id,player_name,team,position,rush_attempts,targets,opportunities,inside_10_rush_attempts,inside_10_targets,inside_10_opportunities,inside_5_rush_attempts,inside_5_targets,inside_5_opportunities
2026,1,00-0041027,Jeremiyah Love,ARI,RB,3,1,4,2,0,2,1,0,1
2026,1,00-0037263,Tyler Allgeier,ARI,RB,3,1,4,1,0,1,1,0,1
2026,1,00-0037744,Trey McBride,ARI,TE,0,4,4,0,2,2,0,1,1
2026,1,00-0033307,Kendrick Bourne,ARI,WR,0,1,1,0,0,0,0,0,0
2026,1,00-0032764,Derrick Henry,BAL,RB,6,0,6,5,0,5,2,0,2
2026,1,00-0034798,Durham Smythe,BAL,TE,0,1,1,0,1,1,0,0,0
2026,1,00-0034753,Mark Andrews,BAL,TE,0,1,1,0,0,0,0,0,0
2026,1,00-0040870,Ja'Kobi Lane,BAL,WR,0,2,2,0,1,1,0,1,1
2026,1,00-0037248,James Cook,BUF,RB,2,1,3,0,0,0,0,0,0
2026,1,00-0039901,Keon Coleman,BUF,WR,0,1,1,0,1,1,0,1,1
2026,1,00-0037261,Khalil Shakir,BUF,WR,0,3,3,0,1,1,0,1,1
2026,1,00-0036555,Chuba Hubbard,CAR,RB,3,1,4,3,1,4,1,1,2
2026,1,00-0040187,Mitchell Evans,CAR,TE,0,2,2,0,1,1,0,1,1
2026,1,00-0039491,Jalen Coker,CAR,WR,0,1,1,0,1,1,0,0,0
2026,1,00-0040124,Tetairoa McMillan,CAR,WR,0,1,1,0,0,0,0,0,0
2026,1,00-0036275,D'Andre Swift,CHI,RB,6,0,6,4,0,4,3,0,3
2026,1,00-0040236,Kyle Monangai,CHI,RB,1,0,1,1,0,1,0,0,0
2026,1,00-0040126,Colston Loveland,CHI,TE,0,1,1,0,0,0,0,0,0
2026,1,00-0040277,Jahdae Walker,CHI,WR,0,1,1,0,1,1,0,1,1
2026,1,00-0032464,Kalif Raymond,CHI,WR,0,1,1,0,0,0,0,0,0
2026,1,00-0038597,Chase Brown,CIN,RB,5,1,6,3,0,3,3,0,3
2026,1,00-0033526,Samaje Perine,CIN,RB,1,0,1,0,0,0,0,0,0
2026,1,00-0035631,Drew Sample,CIN,TE,0,1,1,0,0,0,0,0,0
2026,1,00-0034829,Mike Gesicki,CIN,TE,0,2,2,0,2,2,0,2,2
2026,1,00-0038619,Andrei Iosivas,CIN,WR,0,1,1,0,1,1,0,1,1
2026,1,00-0036900,Ja'Marr Chase,CIN,WR,0,1,1,0,0,0,0,0,0
2026,1,00-0040784,Quinshon Judkins,CLE,RB,2,0,2,1,0,1,1,0,1
2026,1,00-0041037,Denzel Boston,CLE,WR,0,1,1,0,1,1,0,0,0
2026,1,00-0038705,Emari Demercado,DAL,RB,1,0,1,0,0,0,0,0,0
2026,1,00-0036997,Javonte Williams,DAL,RB,3,2,5,3,0,3,3,0,3
2026,1,00-0038041,Jake Ferguson,DAL,TE,0,1,1,0,1,1,0,1,1
2026,1,00-0036358,CeeDee Lamb,DAL,WR,0,2,2,0,1,1,0,1,1
2026,1,00-0033881,Evan Engram,DEN,TE,0,1,1,0,0,0,0,0,0
2026,1,00-0034348,Courtland Sutton,DEN,WR,0,1,1,0,0,0,0,0,0
2026,1,00-0039139,Jahmyr Gibbs,DET,RB,8,0,8,5,0,5,5,0,5
2026,1,00-0039364,Sione Vaki,DET,RB,1,0,1,0,0,0,0,0,0
2026,1,00-0039065,Sam LaPorta,DET,TE,0,2,2,0,2,2,0,1,1
2026,1,00-0036963,Amon-Ra St. Brown,DET,WR,0,4,4,0,2,2,0,1,1
2026,1,00-0037240,Jameson Williams,DET,WR,0,1,1,0,0,0,0,0,0
2026,1,00-0038685,Chris Brooks,GB,RB,1,0,1,1,0,1,0,0,0
2026,1,00-0039811,MarShawn Lloyd,GB,RB,1,1,2,1,0,1,0,0,0
2026,1,00-0038124,Christian Watson,GB,WR,0,1,1,0,1,1,0,1,1
2026,1,00-0039146,Jayden Reed,GB,WR,0,1,1,0,1,1,0,0,0
2026,1,00-0040667,Matthew Golden,GB,WR,0,3,3,0,1,1,0,0,0
2026,1,00-0038090,Skyy Moore,GB,WR,0,1,1,0,0,0,0,0,0
2026,1,00-0035685,David Montgomery,HOU,RB,5,1,6,4,1,5,3,0,3
2026,1,00-0038728,Jared Wayne,HOU,WR,0,1,1,0,0,0,0,0,0
2026,1,00-0036554,Nico Collins,HOU,WR,0,2,2,0,0,0,0,0,0
2026,1,00-0036223,Jonathan Taylor,IND,RB,5,0,5,4,0,4,3,0,3
2026,1,00-0040128,Tyler Warren,IND,TE,0,1,1,0,1,1,0,0,0
2026,1,00-0037664,Alec Pierce,IND,WR,0,1,1,0,0,0,0,0,0
2026,1,00-0030279,Keenan Allen,IND,WR,0,1,1,0,1,1,0,0,0
2026,1,00-0038611,Chris Rodriguez Jr.,JAX,RB,1,0,1,1,0,1,0,0,0
2026,1,00-0038935,Brenton Strange,JAX,TE,0,1,1,0,0,0,0,0,0
2026,1,00-0041100,Josh Cameron,JAX,WR,0,1,1,0,1,1,0,1,1
2026,1,00-0041013,Emmett Johnson,KC,RB,1,0,1,0,0,0,0,0,0
2026,1,00-0038134,Kenneth Walker III,KC,RB,3,1,4,2,1,3,1,1,2
2026,1,00-0039067,Rashee Rice,KC,WR,0,1,1,0,0,0,0,0,0
2026,1,00-0039894,Xavier Worthy,KC,WR,0,1,1,0,0,0,0,0,0
2026,1,00-0037840,Kyren Williams,LA,RB,4,0,4,3,0,3,2,0,2
2026,1,00-0037557,Ronnie Rivers,LA,RB,2,0,2,0,0,0,0,0,0
2026,1,00-0036244,Colby Parkinson,LA,TE,0,1,1,0,1,1,0,0,0
2026,1,00-0039075,Puka Nacua,LA,WR,0,1,1,0,1,1,0,1,1
2026,1,00-0038454,Keaton Mitchell,LAC,RB,2,0,2,1,0,1,0,0,0
2026,1,00-0040666,Omarion Hampton,LAC,RB,2,0,2,1,0,1,0,0,0
2026,1,00-0033885,David Njoku,LAC,TE,0,1,1,0,0,0,0,0,0
2026,1,00-0039915,Ladd McConkey,LAC,WR,0,2,2,0,2,2,0,0,0
2026,1,00-0040122,Ashton Jeanty,LV,RB,3,4,7,0,0,0,0,0,0
2026,1,00-0040878,Mike Washington Jr.,LV,RB,1,0,1,1,0,1,0,0,0
2026,1,00-0039066,Michael Mayer,LV,TE,0,1,1,0,0,0,0,0,0
2026,1,00-0040729,Jack Bech,LV,WR,0,2,2,0,0,0,0,0,0
2026,1,00-0038563,Tre Tucker,LV,WR,0,1,1,0,1,1,0,0,0
2026,1,00-0039040,De'Von Achane,MIA,RB,3,0,3,0,0,0,0,0,0
2026,1,00-0033293,Aaron Jones,MIN,RB,4,0,4,1,0,1,1,0,1
2026,1,00-0037525,Jordan Mason,MIN,RB,4,0,4,2,0,2,1,0,1
2026,1,00-0035229,T.J. Hockenson,MIN,TE,0,2,2,0,0,0,0,0,0
2026,1,00-0038994,Jordan Addison,MIN,WR,0,1,1,0,0,0,0,0,0
2026,1,00-0036322,Justin Jefferson,MIN,WR,0,3,3,0,2,2,0,1,1
2026,1,00-0041395,Eli Raridon,NE,TE,0,1,1,0,1,1,0,1,1
2026,1,00-0033555,Mack Hollins,NE,WR,0,1,1,0,0,0,0,0,0
2026,1,00-0038551,Kendre Miller,NO,RB,2,0,2,2,0,2,0,0,0
2026,1,00-0036973,Travis Etienne,NO,RB,1,2,3,0,0,0,0,0,0
2026,1,00-0036040,Juwan Johnson,NO,TE,0,3,3,0,2,2,0,0,0
2026,1,00-0035644,Noah Fant,NO,TE,0,1,1,0,1,1,0,0,0
2026,1,00-0041067,Bryce Lance,NO,WR,0,1,1,0,1,1,0,1,1
2026,1,00-0037239,Chris Olave,NO,WR,0,1,1,0,0,0,0,0,0
2026,1,00-0039424,Devaughn Vele,NO,WR,0,1,1,0,1,1,0,1,1
2026,1,00-0040715,Cam Skattebo,NYG,RB,4,0,4,2,0,2,2,0,2
2026,1,00-0035250,Devin Singletary,NYG,RB,1,2,3,0,1,1,0,0,0
2026,1,00-0037838,Isaiah Likely,NYG,TE,0,4,4,0,1,1,0,1,1
2026,1,00-0039337,Malik Nabers,NYG,WR,0,1,1,0,0,0,0,0,0
2026,1,00-0039794,Braelon Allen,NYJ,RB,0,1,1,0,0,0,0,0,0
2026,1,00-0038120,Breece Hall,NYJ,RB,4,0,4,2,0,2,2,0,2
2026,1,00-0041032,Kenyon Sadiq,NYJ,TE,1,0,1,1,0,1,1,0,1
2026,1,00-0034844,Saquon Barkley,PHI,RB,2,0,2,0,0,0,0,0,0
2026,1,00-0038555,Tank Bigsby,PHI,RB,1,0,1,0,0,0,0,0,0
2026,1,00-0034351,Dallas Goedert,PHI,TE,0,2,2,0,0,0,0,0,0
2026,1,00-0038393,Dontayvion Wicks,PHI,WR,0,1,1,0,1,1,0,0,0
2026,1,00-0037228,Jaylen Warren,PIT,RB,0,2,2,0,1,1,0,0,0
2026,1,00-0036139,Rico Dowdle,PIT,RB,1,0,1,0,0,0,0,0,0
2026,1,00-0036894,Pat Freiermuth,PIT,TE,0,2,2,0,1,1,0,0,0
2026,1,00-0039299,George Holani,SEA,RB,2,0,2,0,0,0,0,0,0
2026,1,00-0038543,Jaxon Smith-Njigba,SEA,WR,0,3,3,0,2,2,0,0,0
2026,1,00-0033280,Christian McCaffrey,SF,RB,2,0,2,1,0,1,0,0,0
2026,1,00-0033288,George Kittle,SF,TE,0,1,1,0,1,1,0,0,0
2026,1,00-0035719,Deebo Samuel Sr.,SF,WR,0,3,3,0,2,2,0,1,1
2026,1,00-0032775,Demarcus Robinson,SF,WR,0,2,2,0,1,1,0,1,1
2026,1,00-0031408,Mike Evans,SF,WR,0,2,2,0,1,1,0,1,1
2026,1,00-0039361,Bucky Irving,TB,RB,2,0,2,1,0,1,0,0,0
2026,1,00-0038129,Cade Otton,TB,TE,0,2,2,0,0,0,0,0,0
2026,1,00-0040237,Tez Johnson,TB,WR,0,1,1,0,1,1,0,0,0
2026,1,00-0040584,Gunnar Helm,TEN,TE,0,1,1,0,0,0,0,0,0
2026,1,00-0040170,Elic Ayomanor,TEN,WR,0,2,2,0,0,0,0,0,0
2026,1,00-0040242,Jacory Croskey-Merritt,WAS,RB,1,0,1,1,0,1,1,0,1
2026,1,00-0041096,Kaytron Allen,WAS,RB,3,0,3,1,0,1,1,0,1
2026,1,00-0037256,Rachaad White,WAS,RB,1,1,2,0,0,0,0,0,0
2026,1,00-0036628,John Bates,WAS,TE,0,2,2,0,2,2,0,1,1
2026,1,00-0041040,Antonio Williams,WAS,WR,0,2,2,0,1,1,0,1,1
2026,1,00-0031588,Stefon Diggs,WAS,WR,0,1,1,0,1,1,0,0,0
2026,1,00-0035659,Terry McLaurin,WAS,WR,0,1,1,0,1,1,0,0,0
